user,text,created_at
idnwtfid,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
HugoFre36913971,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
LeoDarbilly,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
francinne_oliv,"Maninho demitido por causa do corona, ta foda esse vírus 😒😔",2020-03-20
GlaucioCav,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
vhmolinar,"As empresas TEM SIM de mandar os funcionários pra casa. Mas muitos funcionários precisarão entender que provavelmente serão demitidos.
Não tem jeito.",2020-03-20
georgelima01,"@dfsdoug O enteado do patrão de uma amiga contraiu Corona, e é o mesmo caso, o cara é idoso e tá indo trabalhar normalmente, mesmo com esse agravante, minha amiga se recusou a trabalhar nessas condições e foi demitida.",2020-03-20
antizkrotzB,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
AnnaS_Gdottir,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
patihornick,Pior que agora eu plantei na cabeça a paranoia de que vou ser demitida por causa do corona vírus,2020-03-20
saturneyes_,"mds minha turma toda de treinamento foi desligada 
demitida dps de 3 semanaskkkkkkkk
obg coronavirus 🤝",2020-03-20
mcpl13,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
GustavoM2014,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
Martalsb,"estou percebendo que a ESQUERDA, a extrema esquerda, o centrão se uniram colocando terror! Estão fechando hotéis, estabelecimentos quebrando, os trabalhadores sendo demitidos! Esse vírus vai matar mais que o corona vírus, isso pra enfraquecer o governo de @jairbolsonaro",2020-03-20
pabloviniciuzz,"Deviam suspender os aluguéis das pessoas que foram demitidas por conta do corona vírus, né? Não tem como pagar aluguel se não tem emprego e não pode sair de casa.",2020-03-20
_Filizola,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
nuncanada,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
anonimomsr1,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
jefnogueira,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
KmiilaLeticia,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
fjunior,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
ffusee,"Sextooou, meus tinkwinky
Mete uma vitamina nos peito
Fica em casa
Vamo se ajudar
Concentra no trabalho pra n ser demitido
Afoga o coronavirus no ódio desse coraçaozinho
Pau no cu do biruleibe",2020-03-20
peradoguama27,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
AsenhaEsqueci,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
vilmarcaetano,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
Thiago61302005,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
Analima_alef,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
chrisvier,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
rone_pa,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
BoletimOperario,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
aquxnx,"demitido ✌🏻😘

 obrigado corona!!",2020-03-20
